nofinesset,nofinessej,rs_courte,rs_longue,telephone,departement_code,departement_nom,ville_cp,categorie_libelle,categorie_groupe_libelle,statut_juridique_lib,siret
220012884,220000103,CENTRE REEDUC TRESTEL,CENTRE DE READAPTATION FONCTIONNELLE EN MILIEU MARIN TRESTEL,0296237120,22,COTES D ARMOR,22660 TREVOU TREGUIGNEC,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26220007400074
220012900,220017974,HOP DE JOUR ADULTES LOUDEAC,HOPITAL DE JOUR,0296253344,22,COTES D ARMOR,22600 LOUDEAC,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,40094447600235
220013056,220000210,HDJ ENFANTS CMPEA CATTP PABU,CENTRE DE SOINS POUR ENFANTS ET ADOLESCENTS,0296121225,22,COTES D ARMOR,22200 PABU,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,38794479600060
220013668,750052037,CATTP PÉDOPSYCHIATRIE ARMOR PARK,,0296347133,22,COTES D ARMOR,22400 LAMBALLE ARMOR,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,75331332900025
220014351,750052037,CMP ADULTES DINAN,CENTRE MEDICO PSYCHOLOGIQUE INFANTO JUVENILE,0296399381,22,COTES D ARMOR,22100 DINAN,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,75331332900215
220014914,220017974,CMP CATTP CMPS LOUDEAC,CTRE MEDICO PSYCHOLOGIQUE/CTRE D'ACCUEIL THERAPEUTIQUE,0296253680,22,COTES D ARMOR,22600 LOUDEAC,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,40094447600235
220014971,220014963,DRS FRETIGNE & LE DREZEN,DRS PUISSET FRETIGNE & LE DREZEN,,22,COTES D ARMOR,22000 ST BRIEUC,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,33045621100011
220016489,220016448,GIE DU PAYS DE GUINGAMP,IMAGERIE MEDICALE DU PAYS DE GUINGAMP,,22,COTES D ARMOR,22200 GUINGAMP,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,
220016828,220017974,CPEA LOUDEAC,HOPITAL DE JOUR ENFANTS,0296286015,22,COTES D ARMOR,22600 LOUDEAC,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,40094447600250
220018154,220018147,GIP SERV INTERHOSPITALIER TREGOR GOELO,,0296921026,22,COTES D ARMOR,22220 TREGUIER,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Etablissement public de santé,26220593300019
220018188,220000210,HOP DE JOUR CMP CATTP LANNION,HOPITAL DE JOUR CMP CATTP TRIAGOZ,0296378495,22,COTES D ARMOR,22300 LANNION,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,
220018238,220000210,HJ CMP CATTP ADULTES PAIMPOL,HOPITAL DE JOUR  CMP  CATTP ADULTES DE PAIMPOL,0296553740,22,COTES D ARMOR,22500 PAIMPOL,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,
220018279,220000210,CMP CATTP SAINT QUAY PORTRIEUX,CTRE MEDICO PSYCHOLOGIQUE/CENTRE D'ACCUEIL THERAPEUTIQUE,0296703168,22,COTES D ARMOR,22410 ST QUAY PORTRIEUX,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,
220018394,220000210,CMP/CATTP QUINTIN,CTRE MEDICO-PSYCHOLOGIQUE/CTRE ACCUEIL THERAPEUTIQUE,0296585204,22,COTES D ARMOR,22800 QUINTIN,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,
220018402,750052037,CENTRE SAINT BENOIT MENNI,CENTRE SAINT BENOIT MENNI,0296772717,22,COTES D ARMOR,22000 ST BRIEUC,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,75331332900165
220018436,750052037,HOPITAL DE JOUR ROSE DES VENTS,HOPITAL DE JOUR ROSE DES VENTS,0296877070,22,COTES D ARMOR,22100 QUEVERT,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,75331332900173
220018444,750052037,CATTP ENFANTS SAINT BRIEUC,,0296684393,22,COTES D ARMOR,22440 PLOUFRAGAN,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,75331332900140
220018485,750052037,CENTRE D'ACCUEIL THERAPEUTIQUE ADULTES,CENTRE D'ACCUEIL THERAPEUTIQUE ADULTES A TEMPS PARTIEL,0296783268,22,COTES D ARMOR,22000 ST BRIEUC,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,75331332900124
220018501,750052037,CMPEA SAINT BRIEUC,CENTRE MEDICO PSYCHOLOGIQUE POUR ENFANTS ET ADOLESCENTS,0296682424,22,COTES D ARMOR,22000 ST BRIEUC,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,75331332900231
220018550,220000210,CMP CATTP TREDARZEC,CTRE MEDICO PSYCHOLOGIQUE/CTRE ACCUEIL THERAPEUTIQUE,0296929555,22,COTES D ARMOR,22220 TREDARZEC,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,
220018576,750052037,CMPEA CATTP LA MAISON BLEUE,CENTRE MEDICO PSYCHOLOGIQUE POUR ENFANTS ET ADOLESCENTS,0296871187,22,COTES D ARMOR,22100 DINAN,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,75331332900181
220018584,750052037,CMP CATTP ENFANTS ADULTES,CENTRE MEDICO PSYCHOLOGIQUE  CATTP ENFANTS ADOS ADULTES,0296841979,22,COTES D ARMOR,22130 PLANCOET,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,33843952400053
220018592,750052037,CMPEA BROONS,CENTRE MEDICO PSYCHOLOGIQUE ENFANTS ET ADOLESCENTS,0296846567,22,COTES D ARMOR,22250 BROONS,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,
220018618,220017974,HOP DE JOUR ADULTES ROSTRENEN,HOPITAL DE JOUR ADULTES DE ROSTRENEN,0296291390,22,COTES D ARMOR,22110 ROSTRENEN,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,40094447600219
220018626,220017974,CMP CATTP ROSTRENEN,CMP - CATTP -CMPS DE ROSTRENEN,0296574065,22,COTES D ARMOR,22110 ROSTRENEN,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,40094447600227
220018634,220017974,CMP CATTP ENFANTS ADOS ROSTRENEN,CENTRE MEDICO PSYCHOLOGIQUE ENFANTS,0296292877,22,COTES D ARMOR,22110 ROSTRENEN,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,40094447600102
220018675,220025159,GIE GROUPEMENT D'IMAGERIE ARMORICAINE,GIE GROUPEMENT D'IMAGERIE ARMORICAINE - SITE JEANNE D'ARC,0296752204,22,COTES D ARMOR,22190 PLERIN,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,
220018832,750052037,CMPEA CMP LAMBALLE CATTP ADULTES,,0296312064,22,COTES D ARMOR,22400 LAMBALLE ARMOR,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,
220018857,220018840,IRM DU POLE DE SANTE DE DINAN,GIE - IRM DU POLE DE SANTE DE DINAN,0296858550,22,COTES D ARMOR,22100 DINAN,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,48302274500010
220018873,750052037,SERVICE PSYCHIATRIE ACCUEIL ET LIAISON,SERVICE DE PSYCHIATRIE D'ACCUEIL ET DE LIAISON,0296017504,22,COTES D ARMOR,22000 ST BRIEUC,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,75331332900116
220019061,220000020,SSR GERIATRIQUE,SSR GERIATRIQUE,0296017123,22,COTES D ARMOR,22000 ST BRIEUC,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26220009000187
220019319,220025159,GIE IMAGERIE D'ARMOR,GIE IMAGERIE D'ARMOR,0296752222,22,COTES D ARMOR,22000 ST BRIEUC,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,
220019574,750052037,HOPITAL DE JOUR ADOLESCENTS L'OLIVIER,HOPITAL DE JOUR POUR ADOLESCENTS L'OLIVIER,0296772702,22,COTES D ARMOR,22000 ST BRIEUC,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,75331332900132
220019616,220019608,HAD DU PAYS BRIOCHIN,HAD DU PAYS BRIOCHIN,0296772514,22,COTES D ARMOR,22000 ST BRIEUC,Hospitalisation à Domicile,Traitements et Soins à Domicile,Etablissement de santé privé d'intérêt collectif,79222976700019
220020101,220000020,UDM DE LANNION,UNITE DE DIALYSE MEDICALISEE DE LANNION,0296017123,22,COTES D ARMOR,22303 LANNION CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26220007400017
220020119,220000020,UDM DE PAIMPOL,UNITE DE DIALYSE MEDICALISEE DE PAIMPOL,0296017123,22,COTES D ARMOR,22501 PAIMPOL CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26220011600016
220020341,350000626,HAD DU PAYS DE GUINGAMP AUB SANTE,HAD DU PAYS DE GUINGAMP - AUB,0296402320,22,COTES D ARMOR,22200 GUINGAMP,Hospitalisation à Domicile,Traitements et Soins à Domicile,Etablissement de santé privé d'intérêt collectif,30854923700763
220020663,220000210,CATTP DE CAVAN,CENTRE D'ACCUEIL THERAPEUTIQUE DE CAVAN,0296452010,22,COTES D ARMOR,22140 CAVAN,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,
220020697,220020895,CARIO,CENTRE ARMORICAIN RADIOTHERAPIE D'IMAGERIE MEDICALE D'ONCO,0296752204,22,COTES D ARMOR,22190 PLERIN,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,44996246300054
220020747,750052037,HOPITAL DE JOUR  BROCELIANDE,HOPITAL DE JOUR BROCELIANDE POUR PERSONNES AGEES,0296018014,22,COTES D ARMOR,22360 LANGUEUX,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,75331332900207
220020903,220000210,HOP JOUR CMPEA CATTP F DOLTO LANNION,HOPITAL DE JOUR ADOS CMPEA CATTP FRANCOISE DOLTO,0296141914,22,COTES D ARMOR,22300 LANNION,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,
220021117,750052037,CENTRE D'ACCUEIL THÉRAPEUTIQUE ADULTES,,0296524699,22,COTES D ARMOR,22360 LANGUEUX,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,75331332900082
220022149,220000020,UDM SITE CH GUINGAMP,,0296017123,22,COTES D ARMOR,22200 GUINGAMP,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26220009000203
220022586,220000210,CMPEA CATTP ENFANTS,CMPEA CATTP ENFANTS,0296200761,22,COTES D ARMOR,22500 PAIMPOL,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,
220024236,220000210,HOPITAL DE JOUR ENFANTS PAIMPOL,,0296200766,22,COTES D ARMOR,22500 PAIMPOL,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,indéterminé,
220024269,220024251,MAISON DES FAMILLES DE PATIENTS HOSP,MAISON DES FAMILLES DE PATIENTS HOSPITALISES,0296782020,22,COTES D ARMOR,22027 ST BRIEUC CEDEX 1,Maisons d'accueil hospitalières (M.A.H.),Autres Etablissements Sociaux d'Hébergement et d'Accueil,,52478873400019
220026348,750052037,CMP CMPEA MARIA ESTRELLA,,,22,COTES D ARMOR,22000 ST BRIEUC,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement de santé privé d'intérêt collectif,
230000267,230780074,CENTRE SOINS PSYCHOTHERAPIE ENFANTS,CENTRE SOINS PSYCHOTHERAPIE ENFANTS L'HERMITAGE,0555632798,23,CREUSE,23300 LA SOUTERRAINE,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000026
230000655,230780074,CENTRE SOINS PSYCHOTHERAPIE ADULTES,CENTRE SOINS PSYCHOTHERAPIE ADULTES,0555632605,23,CREUSE,23300 LA SOUTERRAINE,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000125
230000663,230780074,CENTRE SOINS PSYCHOTHERAPIE ADULTES,CENTRE SOINS PSYCHOTHERAPIE ADULTES,0555838210,23,CREUSE,23200 BLESSAC,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000422
230000820,230780041,CENTRE HOSPITALIER GUERET,CENTRE HOSPITALIER DE GUERET,0555517000,23,CREUSE,23011 GUERET CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26230960200015
230000838,230780058,CENTRE HOSPITALIER D'AUBUSSON,CENTRE HOSPITALIER D'AUBUSSON,0555835050,23,CREUSE,23200 AUBUSSON,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26230080900015
230000846,230780066,C H BERNARD DESPLAS  BOURGANEUF,CENTRE HOSPITALIER BERNARD DESPLAS DE BOURGANEUF,0555545000,23,CREUSE,23400 BOURGANEUF,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26230300100016
230000853,230780074,CENTRE HOSPITALIER SAINT VAURY,CENTRE HOSPITALIER LA VALETTE,0555517700,23,CREUSE,23320 ST VAURY,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000018
230000952,230780512,CTRE HOSPITALIER MOYEN SEJOUR EVAUX,CENTRE HOSPITALIER DE MOYEN SEJOUR D'EVAUX-LES-BAINS,0555656000,23,CREUSE,23110 EVAUX LES BAINS,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26230763000018
230000960,230780520,CTRE HOSPITAL MOYEN SEJOUR SOUTERRAINE,CENTRE HOSPITALIER DE MOYEN SEJOUR DE LA SOUTERRAINE,0555895800,23,CREUSE,23300 LA SOUTERRAINE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26231760500018
230001356,230780074,CTRE SOINS PSYCHOTHER ADULTES BELFONT,CENTRE SOINS PSYCHOTHERAPIE ADULTES BELFONT,0555411732,23,CREUSE,23000 GUERET,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000182
230002149,230780074,HOPITAL DE JOUR POST AIGU,HOPITAL DE JOUR POST AIGU,0555802923,23,CREUSE,23320 ST VAURY,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000356
230003287,230780074,CTRE SOINS PSYCHOTHER ADULTES LEMAUPUY,CENTRE SOINS PSYCHOTHERAPIE ADULTES LE MAUPUY,0555411912,23,CREUSE,23000 GUERET,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000281
230004004,230780041,CIDAG DU VIH ET DES HEPATITES,CENTRE D'INFORMATION ET DE DEPISTAGE ANONYME ET GRATUIT,0555517062,23,CREUSE,23000 GUERET,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26230960200015
230004053,230780074,CTRE SOINS PSYCHOTHERAPIE ADO LOKALADO,CENTRE SOINS PSYCHOTHERAPIE ADOLESCENTS LOKALADO,0555529157,23,CREUSE,23000 GUERET,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000513
230004657,230780058,SITE CROIX BLANCHE,SITE CROIX BLANCHE - CH AUBUSSON,0555835050,23,CREUSE,23200 MOUTIER ROZEILLE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26230080900080
230004699,870015526,GIML - IRM GUERET,GIML - IRM GUERET,,23,CREUSE,23000 GUERET,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,
230004707,870017274,CIM GUERET,CABINET D'IMAGERIE MEDICALE DE GUERET,,23,CREUSE,23000 GUERET,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,53258766400089
230004889,230780041,CH GUERET - SITE CROIX BLANCHE,CH GUERET - SITE CROIX BLANCHE,,23,CREUSE,23200 MOUTIER ROZEILLE,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,
230004897,870000015,CHU LIMOGES - SITE CH GUERET,CHU LIMOGES - SITE CH GUERET,,23,CREUSE,23011 GUERET CEDEX,Centre Hospitalier Régional (C.H.R.),Centres Hospitaliers Régionaux,Etablissement public de santé,
230781601,230780074,CENTRE SOINS PSYCHOTHERAPIE ENFANTS,CENTRE SOINS PSYCHOTHERAPIE ENFANTS,0555525035,23,CREUSE,23000 GUERET,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000463
230781619,230780074,CTRE SOINS PSYCHOTHER ADULTES LE BERRY,CENTRE SOINS PSYCHOTHERAPIE ADULTES LE BERRY,0555526457,23,CREUSE,23000 GUERET,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000117
230782245,230780074,CENTRE SOINS PSYCHOTHERAPIE ADULTES,CENTRE SOINS PSYCHOTHERAPIE ADULTES,0555642099,23,CREUSE,23400 BOURGANEUF,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000133
230782252,230780074,CENTRE SOINS PSYCHOTHERAPIE ADULTES,CENTRE SOINS PSYCHOTHERAPIE ADULTES,0555651919,23,CREUSE,23600 BOUSSAC,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000448
230782443,230780074,CENTRE SOINS PSYCHOTHERAPIE ADULTES,CENTRE SOINS PSYCHOTHERAPIE ADULTES,0555655263,23,CREUSE,23110 EVAUX LES BAINS,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26232470000521
240000091,240000034,CH DE LANMARY,CH DEP DE SOINS DE SUITE ET DE READAPTATION DE LANMARY,0553038888,24,DORDOGNE,24420 ANTONNE ET TRIGONANT,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26240592100012
240000174,240000042,CENTRE HOSPITALIER DE BELVES,CENTRE HOSPITALIER DE BELVES,0553314242,24,DORDOGNE,24170 PAYS DE BELVES,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,26240562400012
240000372,240000059,C.H DE BERGERAC,CENTRE HOSPITALIER SAMUEL POZZI,0553638888,24,DORDOGNE,24108 BERGERAC CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26240563200015
240000414,240000067,CENTRE HOSPITALIER DE DOMME,CENTRE HOSPITALIER DE DOMME,0553314949,24,DORDOGNE,24250 DOMME,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,26240570700015
240000455,240000075,CENTRE HOSPITALIER D'EXCIDEUIL,CENTRE HOSPITALIER D'EXCIDEUIL,0553622500,24,DORDOGNE,24160 EXCIDEUIL,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,26240571500018
240000463,240000083,CENTRE HOSPITALIER VAUCLAIRE,CENTRE HOSPITALIER VAUCLAIRE A MONTPON MENESTEROL,0553828282,24,DORDOGNE,24700 MONTPON MENESTEROL,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26240593900014
240000471,240000109,CENTRE HOSPITALIER DE NONTRON,CENTRE HOSPITALIER DE NONTRON,0553608800,24,DORDOGNE,24300 NONTRON,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,26240587100019
240000489,240000117,CENTRE HOSPITALIER DE PERIGUEUX,CENTRE HOSPITALIER DE PERIGUEUX,0553452525,24,DORDOGNE,24019 PERIGUEUX CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26240580600015
240000505,240016055,CENTRE HOSPITALIER DE RIBERAC,CENTRE HOSPITALIER DE RIBERAC,0553925555,24,DORDOGNE,24600 RIBERAC,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,20005293400011
240000513,240000141,CENTRE HOSPITALIER DE SAINT-ASTIER,CENTRE HOSPITALIER DE SAINT-ASTIER,0553027800,24,DORDOGNE,24110 ST ASTIER,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,26240588900011
240000521,240016055,CENTRE HOSPITALIER CHENARD,CENTRE HOSPITALIER CHENARD,0553924300,24,DORDOGNE,24410 ST AULAYE PUYMANGOU,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,Etablissement public de santé,20005293400029
240000687,240000448,CENTRE HOSPITALIER SARLAT,CENTRE HOSPITALIER DE SARLAT,0553317575,24,DORDOGNE,24206 SARLAT LA CANEDA CEDEX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26240598800011
240003392,240000117,HOPITAL DE JOUR ENFANTS LES NYMPHEAS,HOPITAL DE JOUR POUR ENFANTS LES NYMPHEAS,0553452749,24,DORDOGNE,24000 PERIGUEUX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26240580600163
240004994,240000117,CENTRE DE PLANIFICATION,CENTRE DE PLANIFICATION DU CENTRE HOSPITALIER DE PERIGUEUX,,24,DORDOGNE,24000 PERIGUEUX,Centre Hospitalier (C.H.),Centres Hospitaliers,Etablissement public de santé,26240580600015
240008326,240000083,HOPITAL DE JOUR POUR ENFANTS,HOPITAL DE JOUR POUR ENFANTS,0553812761,24,DORDOGNE,24400 MUSSIDAN,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26240593900535
240011668,240000612,HAD DE LA CLINIQUE PASTEUR,SERVICE D'HAD DE LA CLINIQUE PASTEUR,0553615656,24,DORDOGNE,24100 BERGERAC,Hospitalisation à Domicile,Traitements et Soins à Domicile,Non concerné,33031985600028
240015677,240000083,UNITE SEVRAGE COMPLEXE - CH VAUCLAIRE,UNITE SEVRAGE COMPLEXE - CH VAUCLAIRE,0553056680,24,DORDOGNE,24019 PERIGUEUX CEDEX,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,
240017046,240000083,CH VAUCLAIRE - SITE CH PERIGUEUX,CH VAUCLAIRE - SITE CH PERIGUEUX,0553056680,24,DORDOGNE,24019 PERIGUEUX CEDEX,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,Etablissement public de santé,26240593900675
240017103,240004259,IMAGERIE MAGNETIQUE FRANCHEVILLE,IMAGERIE MAGNETIQUE FRANCHEVILLE - SITE POLYCLINIQUE FRANCHE,0553358991,24,DORDOGNE,24004 PERIGUEUX CEDEX,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,
240017111,240009480,IMAGERIE MEDICALE VESONE,IMAGERIE MEDICALE VESONE - SITE POLYCLINIQUE FRANCHEVILLE,,24,DORDOGNE,24004 PERIGUEUX CEDEX,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,39348351600026
240017129,240003418,IRM DU BERGERACOIS,IRM DU BERGERACOIS - SITE CLINIQUE PASTEUR,,24,DORDOGNE,24100 BERGERAC,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,
240017137,240014225,IMAGERIE MEDICALE CLINIQUE PASTEUR,IMAGERIE MEDICALE CLINIQUE PASTEUR,0553235123,24,DORDOGNE,24100 BERGERAC,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,45071702000033
240018465,240018424,TEP SCAN FRANCHEVILLE,TEP SCAN FRANCHEVILLE,0553021292,24,DORDOGNE,24000 PERIGUEUX,Autre Etablissement Loi Hospitalière,Autres Etablissements Relevant de la Loi Hospitalière,Non concerné,95289964900018
